,Name,Position,AV,First Year,Last Year,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12
0,Mark Ingram,RB,81,2011,2022,93.0,99.1,58.4,193.9,203.4,242.2,284.0,144.5,242.5,52.9,110.6,52.1
1,Ezekiel Elliott,RB,72,2016,2022,327.4,205.2,331.1,315.7,231.7,247.9,185.8,,,,,
2,Alvin Kamara,RB,72,2017,2022,314.4,348.2,250.0,377.8,234.7,219.7,,,,,,
3,Derrick Henry,RB,64,2016,2022,105.7,135.0,202.8,300.6,335.1,187.1,304.6,,,,,
4,Christian McCaffrey,RB,63,2017,2022,230.6,381.5,469.2,90.4,127.5,351.0,,,,,,
5,Melvin Gordon,RB,58,2015,2022,116.3,254.6,288.1,271.5,186.8,206.4,201.1,91.1,,,,
6,Dalvin Cook,RB,57,2017,2022,67.4,156.0,296.4,337.8,208.3,245.8,,,,,,
7,Aaron Jones,RB,56,2017,2022,80.0,173.4,318.8,258.9,231.0,252.6,,,,,,
8,Austin Ekeler,RB,52,2017,2022,110.9,170.8,313.0,165.3,345.8,378.7,,,,,,
9,Latavius Murray,RB,51,2014,2022,85.7,206.8,210.2,157.5,129.9,157.2,136.2,103.6,152.2,,,
10,Nick Chubb,RB,49,2018,2022,194.5,261.2,209.7,217.3,281.4,,,,,,,
11,Giovani Bernard,RB,48,2013,2022,224.9,187.9,181.2,124.3,151.7,95.9,70.4,160.1,59.1,4.7,,
12,Kareem Hunt,RB,47,2017,2022,297.2,230.2,101.4,218.5,108.0,126.8,,,,,,
13,Joe Mixon,RB,47,2017,2022,145.3,243.4,225.4,101.6,289.9,239.5,,,,,,
14,David Johnson,RB,46,2015,2022,211.8,411.8,15.0,248.6,143.5,181.5,83.3,11.1,,,,
15,Leonard Fournette,RB,42,2017,2022,230.2,120.4,261.4,132.0,255.6,228.1,,,,,,
16,Saquon Barkley,RB,40,2018,2022,383.8,244.1,15.4,150.6,282.0,,,,,,,
17,Josh Jacobs,RB,38,2019,2022,193.6,235.3,230.0,330.3,,,,,,,,
18,Tevin Coleman,RB,37,2015,2022,48.6,191.1,167.7,193.6,135.4,12.7,51.5,22.0,,,,
19,Kenyan Drake,RB,37,2016,2022,43.5,144.3,208.2,214.2,194.2,102.5,104.1,,,,,
20,James Conner,RB,35,2017,2022,14.4,280.0,147.5,164.6,257.7,202.2,,,,,,
21,Jerick McKinnon,RB,35,2014,2022,94.3,83.4,146.4,180.1,126.2,35.9,196.3,,,,,
22,Jamaal Williams,RB,35,2017,2022,142.8,112.4,146.3,123.1,119.8,227.9,,,,,,
23,Jonathan Taylor,RB,33,2020,2022,254.8,377.1,152.4,,,,,,,,,
24,Duke Johnson,RB,32,2015,2022,164.3,146.2,220.1,128.0,156.0,88.4,59.1,0.4,,,,
25,Chris Carson,RB,31,2017,2021,39.7,205.4,240.6,187.8,50.1,,,,,,,
26,Miles Sanders,RB,31,2019,2022,218.7,170.4,117.2,220.7,,,,,,,,
27,David Montgomery,RB,30,2019,2022,174.4,264.8,199.0,181.7,,,,,,,,
28,Devin Singletary,RB,30,2019,2022,149.9,145.6,197.8,183.9,,,,,,,,
29,Jordan Howard,RB,29,2016,2022,232.1,201.7,182.0,111.4,30.7,62.5,0.1,,,,,
30,Nyheim Hines,RB,28,2018,2022,160.9,107.9,191.2,116.6,69.4,,,,,,,
31,Tony Pollard,RB,26,2019,2022,89.2,120.8,156.6,248.8,,,,,,,,
32,Matt Breida,RB,24,2017,2022,103.5,164.5,105.3,44.0,44.7,59.8,,,,,,
33,Rex Burkhead,RB,24,2013,2022,0.0,20.6,25.8,77.9,129.8,51.7,103.1,107.6,104.3,71.4,,
34,Sony Michel,RB,23,2018,2022,141.1,154.6,75.3,148.3,24.9,,,,,,,
35,Kyle Juszczyk,FB,22,2013,2022,0.0,43.2,97.4,71.8,73.6,71.4,50.6,81.6,73.8,53.6,,
36,Mike Davis,RB,21,2015,2022,16.6,16.5,52.1,136.8,11.9,208.5,144.2,4.2,,,,
37,Chase Edmonds,RB,21,2018,2022,63.1,82.8,168.0,145.3,74.2,,,,,,,
38,Marlon Mack,RB,21,2017,2022,103.3,178.1,179.3,8.6,12.9,38.3,,,,,,
39,Raheem Mostert,RB,21,2015,2022,0.0,0.6,3.0,40.6,169.2,101.7,2.0,170.3,,,,
40,D'Andre Swift,RB,21,2020,2022,193.8,210.9,189.1,,,,,,,,,
41,Gus Edwards,RB,20,2018,2022,87.8,94.6,130.2,61.3,,,,,,,,
42,Antonio Gibson,RB,20,2020,2022,206.2,235.1,165.9,,,,,,,,,
43,Phillip Lindsay,RB,20,2018,2022,222.8,197.7,66.0,45.4,12.8,,,,,,,
44,Damien Williams,RB,20,2014,2022,57.9,47.1,95.4,59.6,100.6,143.1,60.7,0.2,,,,
45,Ameer Abdullah,RB,19,2015,2022,121.0,26.8,126.4,5.9,41.3,30.0,89.5,54.1,,,,
46,Brandon Bolden,RB,19,2012,2022,42.5,81.3,17.7,69.7,3.9,8.4,31.4,50.9,122.1,27.3,,
47,Ronald Jones II,RB,19,2018,2022,20.7,170.3,190.3,83.2,16.2,,,,,,,
48,AJ Dillon,RB,18,2020,2022,40.3,187.6,167.6,,,,,,,,,
49,Ty Montgomery,RB-WR,18,2015,2022,42.0,142.5,91.6,73.3,32.3,15.8,29.9,10.3,,,,
50,Clyde Edwards-Helaire,RB,16,2020,2022,176.0,119.6,98.3,,,,,,,,,
51,Damien Harris,RB,16,2019,2022,1.2,91.3,214.1,90.9,,,,,,,,
52,Najee Harris,RB,16,2021,2022,300.7,227.3,,,,,,,,,,
53,Samaje Perine,RB,16,2017,2022,112.5,6.7,1.6,65.7,83.2,142.1,,,,,,
54,James Robinson,RB,16,2020,2022,250.4,177.9,88.6,,,,,,,,,
55,Jeff Wilson,RB,16,2018,2022,48.4,46.9,146.3,51.5,162.5,,,,,,,
56,Alexander Mattison,RB,15,2019,2022,70.4,86.9,127.9,88.4,,,,,,,,
57,Darrel Williams,RB,15,2018,2022,16.1,69.8,52.5,196.0,21.1,,,,,,,
58,D'Onta Foreman,RB,14,2017,2022,59.0,10.7,17.0,95.9,129.0,,,,,,,
59,Darrell Henderson,RB,14,2019,2022,22.4,130.3,163.4,73.5,,,,,,,,
60,Rashaad Penny,RB,14,2018,2022,70.4,77.3,3.4,121.7,52.2,,,,,,,
61,Rhamondre Stevenson,RB,14,2021,2022,116.9,251.1,,,,,,,,,,
62,Myles Gaskin,RB,13,2019,2022,31.4,168.2,175.6,9.4,,,,,,,,
63,Justin Jackson,RB,13,2018,2022,61.1,31.2,63.3,88.2,51.1,,,,,,,
64,Royce Freeman,RB,12,2018,2022,103.3,142.2,37.1,34.6,21.0,,,,,,,
65,Malcolm Brown,RB,11,2015,2022,2.5,11.5,44.9,37.4,59.1,111.1,22.5,22.8,,,,
66,J.K. Dobbins,RB,11,2020,2022,164.5,81.2,,,,,,,,,,
67,Travis Etienne,RB,11,2022,2022,209.1,,,,,,,,,,,
68,Zack Moss,RB,11,2020,2022,101.6,107.2,66.5,,,,,,,,,
69,Boston Scott,RB,11,2018,2022,0.0,98.9,95.6,100.6,46.2,,,,,,,
70,Cam Akers,RB,10,2020,2022,103.8,4.3,145.3,,,,,,,,,
71,Michael Carter,RB,10,2021,2022,156.4,128.0,,,,,,,,,,
72,Corey Clement,RB,9,2017,2022,90.4,79.1,0.0,21.0,28.9,21.9,,,,,,
73,Kenneth Gainwell,RB,9,2021,2022,123.4,87.9,,,,,,,,,,
74,Brian Hill,RB,9,2017,2021,9.3,17.6,67.2,97.4,0.0,,,,,,,
75,Chuba Hubbard,RB,9,2021,2022,139.6,89.7,,,,,,,,,,
76,Ty Johnson,RB,9,2019,2022,62.2,63.3,119.0,42.8,,,,,,,,
77,Elijah Mitchell,RB,9,2021,2022,165.0,43.6,,,,,,,,,,
78,Javonte Williams,RB,9,2021,2022,206.9,44.0,,,,,,,,,,
79,Tyler Allgeier,RB,8,2022,2022,157.4,,,,,,,,,,,
80,Khalil Herbert,RB,8,2021,2022,78.9,117.8,,,,,,,,,,
81,Travis Homer,RB,8,2019,2022,28.0,32.8,55.8,45.1,,,,,,,,
82,Benny Snell Jr.,RB,8,2019,2022,59.9,76.9,13.1,18.7,,,,,,,,
83,Kenneth Walker III,RB,8,2022,2022,202.5,,,,,,,,,,,
84,Jordan Wilkins,RB,8,2018,2022,64.1,54.0,59.3,0.0,14.7,,,,,,,
85,C.J. Ham,RB,7,2017,2022,21.1,20.3,39.6,25.5,32.9,31.3,,,,,,
86,Dontrell Hilliard,RB,7,2018,2022,19.5,38.1,6.0,74.7,77.2,,,,,,,
87,Joshua Kelley,RB,7,2020,2022,85.2,19.0,64.8,,,,,,,,,
88,Isiah Pacheco,RB,7,2022,2022,139.0,,,,,,,,,,,
89,DeeJay Dallas,RB,6,2020,2022,56.9,60.1,48.2,,,,,,,,,
90,Justice Hill,RB,6,2019,2022,49.5,13.0,44.0,,,,,,,,,
91,D'Ernest Johnson,RB,6,2019,2022,15.2,21.0,104.1,5.4,,,,,,,,
92,Dameon Pierce,RB,6,2022,2022,170.4,,,,,,,,,,,
93,James Cook,RB,5,2022,2022,107.7,,,,,,,,,,,
94,Jamycal Hasty,RB,5,2020,2022,31.1,51.5,70.0,,,,,,,,,
95,Jeremy McNichols,RB,5,2017,2021,0.0,0.4,0.0,43.9,73.6,,,,,,,
96,Dare Ogunbowale,RB,5,2017,2022,0.0,0.0,77.3,29.9,50.1,48.7,,,,,,
97,Jonathan Williams,RB,5,2016,2022,16.4,1.1,40.4,6.6,20.7,26.2,,,,,,
98,Salvon Ahmed,RB,4,2020,2022,67.0,38.6,14.2,,,,,,,,,
99,Kenjon Barner,RB,4,2013,2021,3.4,23.6,34.1,22.3,8.4,11.0,0.0,0.0,,,,
100,Eno Benjamin,RB,4,2021,2022,28.0,87.6,,,,,,,,,,
101,Breece Hall,RB,4,2022,2022,117.1,,,,,,,,,,,
102,Patrick Laird,RB,4,2019,2021,66.2,24.0,5.1,,,,,,,,,
103,Craig Reynolds,RB,4,2019,2022,0.0,1.7,35.2,30.8,,,,,,,,
104,Jaylen Warren,RB,4,2022,2022,93.3,,,,,,,,,,,
105,Dwayne Washington,RB,4,2016,2022,48.7,7.8,15.4,7.6,1.5,4.8,5.5,,,,,
106,Rachaad White,RB,4,2022,2022,145.1,,,,,,,,,,,
107,Mike Boone,RB,3,2018,2022,6.8,50.0,14.9,7.7,28.8,,,,,,,
108,Derrick Gore,RB,3,2021,2021,56.1,,,,,,,,,,,
109,Alec Ingold,FB,3,2019,2022,18.1,29.4,24.6,38.3,,,,,,,,
110,Deon Jackson,RB,3,2021,2022,9.1,86.5,,,,,,,,,,
111,Taiwan Jones,RB,3,2011,2022,11.8,5.2,9.8,0.0,31.0,7.5,2.1,0.0,5.9,0.0,0.0,0.0
112,Kene Nwangwu,RB,3,2021,2022,11.0,5.5,,,,,,,,,,
113,Brian Robinson Jr.,RB,3,2022,2022,112.7,,,,,,,,,,,
114,Reggie Bonnafon,RB,2,2019,2022,29.3,16.7,3.6,0.8,,,,,,,,
115,Trenton Cannon,RB,2,2018,2022,48.7,0.0,7.9,0.4,0.0,,,,,,,
116,Malik Davis,RB,2,2022,2022,34.4,,,,,,,,,,,
117,Chris Evans,RB,2,2021,2022,49.8,12.8,,,,,,,,,,
118,Darrynton Evans,RB,2,2020,2022,16.1,3.8,10.7,,,,,,,,,
119,Demetric Felton,RB,2,2021,2022,50.5,2.4,,,,,,,,,,
120,Caleb Huntley,RB,2,2022,2022,44.9,,,,,,,,,,,
121,Godwin Igwebuike,RB,2,2018,2022,0.0,30.8,1.7,,,,,,,,,
122,Zonovan Knight,RB,2,2022,2022,59.0,,,,,,,,,,,
123,Jordan Mason,RB,2,2022,2022,31.8,,,,,,,,,,,
124,Jaret Patterson,RB,2,2021,2022,55.9,7.8,,,,,,,,,,
125,La'Mical Perine,RB,2,2020,2021,52.5,3.1,,,,,,,,,,
126,Darwin Thompson,RB,2,2019,2020,32.1,35.2,,,,,,,,,,
127,Ke'Shawn Vaughn,RB,2,2020,2022,25.3,36.6,10.2,,,,,,,,,
128,Kyren Williams,RB,2,2022,2022,30.5,,,,,,,,,,,
129,Trayveon Williams,RB,2,2019,2022,0.0,23.7,6.5,8.0,,,,,,,,
130,Ty'Son Williams,RB,2,2021,2022,41.9,1.5,,,,,,,,,,
131,Raheem Blackshear,RB,1,2022,2022,45.0,,,,,,,,,,,
132,Gary Brightwell,RB,1,2021,2022,2.0,29.0,,,,,,,,,,
133,Tyrion Davis-Price,RB,1,2022,2022,9.9,,,,,,,,,,,
134,Hassan Haskins,RB,1,2022,2022,26.0,,,,,,,,,,,
135,Keaontay Ingram,RB,1,2022,2022,18.1,,,,,,,,,,,
136,Jermar Jefferson,RB,1,2021,2021,25.7,,,,,,,,,,,
137,Tony Jones,RB,1,2020,2022,1.3,22.1,10.4,,,,,,,,,
138,John Kelly,RB,1,2018,2022,12.1,0.9,1.3,0.0,,,,,,,,
139,Anthony McFarland Jr.,RB,1,2020,2022,22.7,2.4,6.1,,,,,,,,,
140,Ryan Nall,RB,1,2019,2021,0.8,20.7,1.8,,,,,,,,,
141,Qadree Ollison,RB,1,2019,2022,30.7,0.3,21.7,0.0,,,,,,,,
142,Larry Rountree,RB,1,2021,2022,15.6,5.3,,,,,,,,,,
143,Trey Sermon,RB,1,2021,2022,28.3,1.9,,,,,,,,,,
144,Pierre Strong,RB,1,2022,2022,27.2,,,,,,,,,,,
145,J.J. Taylor,RB,1,2020,2022,12.4,20.5,2.7,,,,,,,,,
146,Patrick Taylor,RB,1,2021,2022,17.2,5.8,,,,,,,,,,
147,Austin Walter,RB,1,2019,2021,0.0,4.0,19.0,,,,,,,,,
148,Jonathan Ward,RB,1,2020,2022,8.1,9.7,5.2,,,,,,,,,
149,Derek Watt,FB,1,2016,2022,12.7,7.9,2.3,13.2,0.0,4.6,20.2,,,,,
150,Antonio Williams,RB,1,2020,2022,21.3,0.0,,,,,,,,,,
151,Alex Armah,FB,0,2017,2022,0.0,15.0,9.7,7.7,9.2,0.0,,,,,,
152,Tyler Badie,RB,0,2022,2022,9.4,,,,,,,,,,,
153,Nick Bawden,RB,0,2019,2021,5.7,3.0,,,,,,,,,,
154,Khari Blasingame,RB,0,2019,2022,9.4,7.9,3.0,0.0,,,,,,,,
155,Spencer Brown,RB,0,2021,2022,0.0,7.3,,,,,,,,,,
156,Michael Burton,FB,0,2015,2022,16.1,0.0,3.7,1.6,0.0,8.6,14.7,3.8,,,,
157,Ty Chandler,RB,0,2022,2022,2.0,,,,,,,,,,,
158,Julius Chestnut,RB,0,2022,2022,8.3,,,,,,,,,,,
159,Snoop Conner,RB,0,2022,2022,10.2,,,,,,,,,,,
160,Damarea Crockett,RB,0,2021,2021,0.7,,,,,,,,,,,
161,Rico Dowdle,RB,0,2020,2022,2.4,0.0,,,,,,,,,,
162,Trestan Ebner,RB,0,2022,2022,8.2,,,,,,,,,,,
163,Jerome Ford,RB,0,2022,2022,1.2,,,,,,,,,,,
164,Jake Funk,RB,0,2021,2022,0.5,,,,,,,,,,,
165,Cullen Gillaspia,RB,0,2019,2022,1.6,,,,,,,,,,,
166,Kevin Harris,RB,0,2022,2022,11.2,,,,,,,,,,,
167,Kylin Hill,RB,0,2021,2022,3.9,0.7,,,,,,,,,,
168,Zander Horvath,RB,0,2022,2022,18.6,,,,,,,,,,,
169,Jason Huntley,RB,0,2020,2021,2.9,5.1,,,,,,,,,,
170,Jakob Johnson,FB,0,2019,2022,1.5,17.5,8.3,6.0,,,,,,,,
171,Adrian Killins,RB,0,2020,2020,-0.0,,,,,,,,,,,
172,Devine Ozigbo,RB,0,2019,2022,8.0,13.3,1.4,1.7,,,,,,,,
173,Adam Prentice,RB,0,2021,2022,5.1,4.8,,,,,,,,,,
174,Trey Ragas,RB,0,2021,2021,3.5,,,,,,,,,,,
175,Ronnie Rivers,RB,0,2022,2022,10.0,,,,,,,,,,,
176,Mekhi Sargent,RB,0,2021,2021,1.1,,,,,,,,,,,
177,Isaiah Spiller,RB,0,2022,2022,8.4,,,,,,,,,,,
178,Zamir White,RB,0,2022,2022,7.0,,,,,,,,,,,
